ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE00011,tzh,a,part.,,,,,,,,,,,,,,,,,,,,,
TSE00021,tzh,a,part.,,,,,,,,,,,,,,,,,,,,,
TSE00031,tzh,a,aux.,,,,,,,,,,,,,,,,,,,,,
TSE00041,tzh,a',n2.,,,,,,,,,,,,,,-il,,,,,,,
TSE00051,tzh,a'al,n2.,,,,,,,,,,de [ha'](TSE16711),,,(h)a' -al,,,,,,,,
TSE00052,tzh,a'lel,n2.,,,,,,,,,,,,,(h)a' -al,,,,,,,,
TSE00061,tzh,a'an,agt.i.v.,,,,,,,,,,,,,a'iy -an,,,,,,,,
TSE00071,tzh,a'an,t.v.,,,,,,,,,TSE00061,,,,a'iy -an,,,,,,,,
TSE00081,tzh,abak,n.,,,,,,,,,,,,"-il, -ul",,,,,,,,,
TSE00091,tzh,abaktik,diff.adj.,,,,,,TSE00081,,,,,,,abak -tik,,,,,,,,
TSE00101,tzh,abakub,i.v.,,,,,,TSE00081,,,,,,,abak -ub,,,,,,,,
TSE00111,tzh,abakubtes,t.v.,,,,,,TSE00101,,,,,,,abak -ub -tes,,,,,,,,
TSE00121,tzh,abat,n.,,,,,,,,,,,,,,,,,,,,,
TSE00131,tzh,abat,act.n.,,,,,,,"Petalcingo, Yajalón",,TSE00121 ; TSE00151,,,,,,,,,,,,
TSE00141,tzh,abatin,t.v.,,,,,,TSE00121,,,,,,,abat -in,,,,,,,,
TSE00151,tzh,abatin,agt.i.v.,,,,,,TSE00121,"Bachajón, Oxchuc, Petalcingo, Yajalón",,,,"Petalcingo, Yajalón [abat](TSE00131) (o infinitivo regular con <-el>)",,abat -in,,,,,,,,
TSE00161,tzh,abenal,n2.,,,abinal,,,,,,TSE75441,de [haben](TSE00162) + <-al> (pérdida de /h/ después del prefijo posesivo <y->),,,aben -al,,,,,,,,
TSE00162,tzh,haben,n.,,,,,,,,,TSE00161 ; TSE14621 ; TSE17101,,,,,,,,,,,,
TSE00171,tzh,abi,part.,,,,,,,,,,,,,,,,,,,,,
