ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Dialect,Media_IDs,Sense_IDs
XV000001,tzh,lek a lok',,,salió bien,,,,,SN000001
XV000002,tzh,jun yo'tan a k'ot,,,llegó contento,,,Petalcingo,,SN000001
XV000003,tzh,sok snaul a jil te jk'inale,,,mi terreno se quedó (lo dejé) con todo y casa,,,Oxchuc,,SN000001 ; SN006960
XV000004,tzh,la jkil a lok' te beel pinkaetik namey,,,vi salir a los migrantes a la finca hace tiempo,,,Oxchuc,,SN000001
XV000005,tzh,"te u a bejk'ajone, ja' marso",,,el mes en que nací es marzo,,,Oxchuc,,SN000001
XV000006,tzh,¿binti ya sjok'ik a?,,,¿con qué lo escarban?,,,Cancuc,,SN000002
XV000007,tzh,najk'a bats'il na te ya jts'istik ae,,,es sólo con hilo auténtico que lo bordamos,,,Oxchuc,,SN000002 ; SN005493
XV000008,tzh,"kaytik chajbajel, jich mayuk k'op a",,,"arreglémonos, para que así no haya disputa",,,Oxchuc,,SN000003 ; SN004083
XV000009,tzh,maba nakalon a,,,no estaba yo en casa entonces (en ese momento),,,Oxchuc,,SN000004 ; SN005499
XV000010,tzh,kum a,,,es de otro tipo,,,Oxchuc,,SN000005
XV000011,tzh,yan ek a te bin ya kale,,,es otra cosa lo que voy a decir,,,Bachajón,,SN000005 ; SN002108 ; SN009431
XV000012,tzh,ha' tulan xan a te jxuhleme,,,el aura (especie de zopilote) es más fuerte (que otras especies de zopilotes),,,Bachajón,,SN000006 ; SN009021
XV000013,tzh,tey a,,,allá (en ese lugar),,,,,SN000007
XV000014,tzh,tey ya jtah jbahtik a,,,allá nos encontraremos,,"se combina con elementos clíticos para especificar la ubicación, en particular [a](TSE00021), <e>, etc.",Bachajón,,SN000007 ; SN007113 ; SN007376
XV000015,tzh,le' ay a,,,allá está,,"se combina con elementos clíticos para especificar la ubicación, en particular [a](TSE00021), [to](TSE60181), etc.",Oxchuc,,SN000007 ; SN000441 ; SN004543
XV000016,tzh,ma'yukix a,,,ya no hay (definitivamente),,,,,SN000008
XV000017,tzh,ta ahk'abaltik a xbohotik,,,nos vamos durante la noche,,,Petalcingo,,SN000009 ; SN000077
XV000018,tzh,ay a xlok' jahk'u'ik' ya'yel ta jk'abtik,,,a veces nos sale como un salpullido en los brazos,,,Petalcingo,,SN000009 ; SN002612 ; SN009386
XV000019,tzh,ya yich' chahpambeyel bin a swe',,,se le prepara lo que va a comer,,,Petalcingo,,SN000009 ; SN000820 ; SN001109
