ID,Description,Entry_ID,Comment,Concepticon_ID,Media_IDs,Related_Entries,Related_Forms_Other_Dialect,Scientific_Name,Sense_Dialect,Subspecies,Synonym,Synonyms_Other_Dialect,Source
SN000001,marca de aspecto completivo para verbos intransitivos; sólo aparece cuando el verbo viene precedido de otro elemento que no sea el subordinador [te](TSE58261) u otro equivalente,TSE00011,,,,,,,,,,,
SN000002,"señala que un instrumento está involucrado (sólo se usa cuando tiene lugar una extracción sintáctica: interrogación, focalización o relativización)",TSE00021,,,,,,,,,,,
SN000003,"señala una relación adverbial entre cláusulas, en particular para expresión del propósito",TSE00021,,,,,,,,,,,
SN000004,"ancla el evento en un tiempo del que se habló anteriormente (como ""entonces"")",TSE00021,,,,,,,,,,,
SN000005,"da el sentido de ""otro, diferente"" con expresiones numerales con valor de 'uno' o reforzando a [yan](TSE75971) 'otro'",TSE00021,,,,,,,,,,,
SN000006,refuerza expresiones de comparación,TSE00021,,,,,,,,,,,
SN000007,"forma expresiones locativas anafóricas (como ""en ese lugar del que estamos hablando"") con los demostrativos [tey](TSE59071) o [le'](TSE36171)",TSE00021,,,,,,,,,,,
SN000008,"enfatiza el valor de <ix> 'ya', destacando que algo es irremediable, definitivo",TSE00021,,,,,,,,,,,
SN000009,reducción de la marca de aspecto incompletivo [ya](TSE75331) después de otra palabra,TSE00031,,,,,,,,,,,
SN000010,muslo,TSE00041,,THIGH [800],,,,,,,,,
SN000011,"entrepiernas, parte de los muslos adentro de las piernas",TSE00041,,,,,,,Oxchuc,,,,
SN000012,agua de alguien o de un animal,TSE00051,,,,,,,,,,,
SN000013,"mollera, fontanela del bebé",TSE00051,,,,,,,,,,,
SN000014,"agua de algo (jugo de una carne, consomé de un caldo, agua del cuerpo) (véase [ha'](TSE16711))",TSE00052,,,,,,,,,,,
SN000015,"platicar, conversar, charlar (véase [a'yan](TSE03231))",TSE00061,,,,,,,,,,,
SN000016,"criticar, hablar mal de otros",TSE00061,,,,,,,Yajalón,,,,
SN000017,platicar (un asunto),TSE00071,,,,,,,,,,,
SN000018,"criticar a, hablar mal de",TSE00071,,,,,,,,,,,
SN000019,"hollín, tizne, cochambre, suciedad negra producida por el humo del fuego que típicamente se acumula y cuelga en el techo de la cocina",TSE00081,,SOOT [830],,[sibak](TSE54641); 'tiznarse': [tsitsub](TSE64371); [xakub](TSE72281),"var. Altamirano, Oxchuc <abek>",,,,,,
SN000020,suciedad en general (sobre todo en forma poseída),TSE00081,,,,,,,"North, Cancuc, Tenango",,,,
SN000021,"sucio, mugroso por acumulación de humo, tiznado",TSE00091,,DIRTY [1230],,,,,,,,,
